Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	4/547	2.083799e-03	1.655775e-02	9.491260e+00	5.859489e+01	EIF2AK2;OAS1;RSAD2;OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	4/280	1.689078e-04	1.947408e-03	1.891978e+01	1.643402e+02	EIF2AK2;OAS1;RSAD2;OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE	1/745	5.417810e-01	6.113421e-01	1.933512e+00	1.185037e+00	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	1/371	3.194315e-01	4.259086e-01	3.962940e+00	4.522557e+00	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_ACTIVATION	1/181	1.704076e-01	2.973284e-01	8.215427e+00	1.453771e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1/124	1.199700e-01	2.403065e-01	1.204267e+01	2.553664e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1/1004	6.532017e-01	7.047388e-01	1.414626e+00	6.024456e-01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_AMIDE_METABOLIC_PROCESS	1/1301	7.492612e-01	7.729221e-01	1.073995e+00	3.100276e-01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	6/48	6.117360e-12	2.398005e-10	2.047882e+02	5.287610e+03	IFIT2;IFIT1;OAS1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	2/109	5.520768e-03	3.797344e-02	2.432495e+01	1.264712e+02	IFIT2;IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_PROCESS	6/1965	1.168957e-02	6.137024e-02	4.003141e+00	1.781021e+01	IFIT2;IFI6;XAF1;MX1;EIF2AK2;IFIT3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_APOPTOTIC_SIGNALING_PATHWAY	1/622	4.776644e-01	5.617334e-01	2.331394e+00	1.722543e+00	IFI6
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING	1/19	1.933979e-02	8.008305e-02	8.082952e+01	3.189202e+02	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST	4/213	5.871928e-05	7.720765e-04	2.505771e+01	2.441308e+02	IFITM3;LY6E;IFIT1;IFITM2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	18/1759	2.348172e-17	1.380725e-15	7.528114e+01	2.882538e+03	IFIT2;RSAD2;OAS2;IFITM3;APOBEC3A;IFI6;IFITM2;OAS3;HERC5;LY6E;IFIT1;ISG15;OAS1;MX1;EIF2AK2;IFIT3;MX2;IFI44L
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION	4/323	2.915711e-04	3.117160e-03	1.633675e+01	1.329848e+02	IFITM3;LY6E;IFIT1;IFITM2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BIOMINERAL_TISSUE_DEVELOPMENT	1/174	1.643648e-01	2.911040e-01	8.549989e+00	1.543843e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BODY_FLUID_SECRETION	1/92	9.039110e-02	2.052122e-01	1.628121e+01	3.913367e+01	OAS2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_BONE_MINERALIZATION	1/122	1.181484e-01	2.395561e-01	1.224217e+01	2.614699e+01	ISG15
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	1/179	1.686854e-01	2.969670e-01	8.308339e+00	1.478652e+01	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	1/1039	6.661157e-01	7.108458e-01	1.364357e+00	5.543272e-01	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_HOMEOSTASIS	1/254	2.310006e-01	3.473870e-01	5.827492e+00	8.539229e+00	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CARBOHYDRATE_METABOLIC_PROCESS	1/569	4.474864e-01	5.369836e-01	2.555916e+00	2.055236e+00	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1/119	1.154093e-01	2.364483e-01	1.255404e+01	2.710757e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_CYTOKINE_PRODUCTION	1/19	1.933979e-02	8.008305e-02	8.082952e+01	3.189202e+02	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	1/93	9.132957e-02	2.057540e-01	1.610437e+01	3.854227e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_CATABOLIC_PROCESS	2/1613	5.021315e-01	5.800655e-01	1.496549e+00	1.030963e+00	APOBEC3A;OAS2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_DSRNA	1/23	2.336579e-02	9.159389e-02	6.644615e+01	2.496038e+02	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_EXOGENOUS_DSRNA	1/17	1.732088e-02	7.488732e-02	9.063636e+01	3.676068e+02	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	1/345	3.006578e-01	4.111321e-01	4.267835e+00	5.129009e+00	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	1/280	2.515476e-01	3.679353e-01	5.278244e+00	7.284626e+00	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA	2/27	3.462421e-04	3.571761e-03	1.029809e+02	8.205903e+02	IFITM2;OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	1/695	5.166758e-01	5.916965e-01	2.078252e+00	1.372352e+00	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	1/550	4.362700e-01	5.300139e-01	2.646952e+00	2.195631e+00	IFIT1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_STARVATION	1/178	1.678229e-01	2.963360e-01	8.355580e+00	1.491342e+01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_STRESS	1/1966	8.810672e-01	8.810672e-01	6.845978e-01	8.668472e-02	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	1/109	1.062205e-01	2.246678e-01	1.371819e+01	3.075944e+01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN	1/89	8.757017e-02	2.018367e-01	1.683572e+01	4.100029e+01	EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELLULAR_RESPONSE_TO_VIRUS	2/88	3.637066e-03	2.673244e-02	3.026324e+01	1.699758e+02	IFI6;OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELL_ACTIVATION	1/1109	6.905859e-01	7.316477e-01	1.273342e+00	4.714104e-01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELL_CYCLE	2/1841	5.762788e-01	6.402857e-01	1.294307e+00	7.133752e-01	MX2;HERC5
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CELL_SURFACE_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	1/72	7.142727e-02	1.787201e-01	2.085691e+01	5.504297e+01	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHEMICAL_HOMEOSTASIS	1/1037	6.653902e-01	7.108458e-01	1.367138e+00	5.569469e-01	OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHEMOKINE_C_C_MOTIF_LIGAND_5_PRODUCTION	1/11	1.124043e-02	5.954390e-02	1.424725e+02	6.394506e+02	OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	2/20	1.882342e-04	2.088335e-03	1.419978e+02	1.218032e+03	OAS1;OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CHEMOKINE_PRODUCTION	3/105	1.623520e-04	1.909259e-03	3.776683e+01	3.295437e+02	EIF2AK2;OAS1;OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CLEARANCE_OF_FOREIGN_INTRACELLULAR_NUCLEIC_ACIDS	1/6	6.146105e-03	4.015455e-02	2.720629e+02	1.385327e+03	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTIDINE_METABOLIC_PROCESS	1/12	1.225631e-02	6.212683e-02	1.300769e+02	5.725614e+02	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTIDINE_TO_URIDINE_EDITING	1/12	1.225631e-02	6.212683e-02	1.300769e+02	5.725614e+02	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	7/512	4.795986e-07	1.128016e-05	2.082921e+01	3.030716e+02	OAS2;IFITM2;OAS3;ISG15;OAS1;MX1;IFITM3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTOKINE_PRODUCTION	7/883	1.772976e-05	2.606275e-04	1.177759e+01	1.288499e+02	RSAD2;OAS2;XAF1;OAS3;ISG15;OAS1;EIF2AK2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	1/123	1.190596e-01	2.403065e-01	1.214160e+01	2.583891e+01	RSAD2
c5.all.v2023.2.Hs.symbols.gmt	GOBP_CYTOSOLIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	4/150	1.487503e-05	2.259930e-04	3.595067e+01	3.996214e+02	EIF2AK2;OAS1;RSAD2;OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE	17/1855	3.517806e-15	1.591131e-13	4.791814e+01	1.594761e+03	IFIT2;RSAD2;OAS2;IFITM3;APOBEC3A;IFI6;IFITM2;OAS3;HERC5;IFIT1;ISG15;OAS1;MX1;EIF2AK2;IFIT3;MX2;IFI44L
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	4/334	3.311555e-04	3.477133e-03	1.578394e+01	1.264755e+02	ISG15;OAS2;OAS1;OAS3
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	17/1235	3.706693e-18	2.724419e-16	7.484407e+01	3.003971e+03	IFIT2;RSAD2;OAS2;IFITM3;APOBEC3A;IFI6;IFITM2;OAS3;HERC5;IFIT1;ISG15;OAS1;MX1;EIF2AK2;IFIT3;MX2;IFI44L
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	17/338	8.541400e-28	5.022343e-25	2.976128e+02	1.854945e+04	IFIT2;RSAD2;OAS2;IFITM3;APOBEC3A;IFI6;IFITM2;OAS3;HERC5;IFIT1;ISG15;OAS1;MX1;EIF2AK2;IFIT3;MX2;IFI44L
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DEMETHYLATION	1/55	5.501328e-02	1.540372e-01	2.738673e+01	7.942647e+01	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DNA_CYTOSINE_DEAMINATION	1/9	9.205684e-03	5.155183e-02	1.760136e+02	8.251400e+02	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DNA_DEALKYLATION	1/38	3.832390e-02	1.251914e-01	3.983692e+01	1.299354e+02	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DNA_DEAMINATION	1/13	1.327121e-02	6.449148e-02	1.196646e+02	5.172094e+02	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DNA_METABOLIC_PROCESS	1/1037	6.653902e-01	7.108458e-01	1.367138e+00	5.569469e-01	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_DNA_MODIFICATION	1/103	1.006638e-01	2.164355e-01	1.452570e+01	3.335057e+01	APOBEC3A
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ENDOLYSOSOMAL_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	2/47	1.053300e-03	8.847718e-03	5.765518e+01	3.952740e+02	RSAD2;OAS1
c5.all.v2023.2.Hs.symbols.gmt	GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	1/75	7.429559e-02	1.820242e-01	2.001394e+01	5.203031e+01	EIF2AK2
